 

Obsidian Energy Ltd
Cadotte (NAD 83)
13-8-83-17W5
OBE 102 Hz Cadotte 16-18-83-17W5
102/16-18-083-17W5/00
Final Survey (Lic# 0517936)?

----- Geographical data ----------------------
Mapdatum...........: North American Datum 1983
Map System............: Universal Transverse Mercator
Map Zone: Zone 11N (120 W to 114 W)
Latitude:56° 11' 8.1805 N
Longitude: 116° 39' 33.8210 W
Northing: 6226789.52
Easting: 521140.84

----- Geomagnetic data ----------------------
Magnetic model...........: HRGM
Magnetic date............: 28-Mar-2025
Magnetic field strength..:   56561.74 HCNT
Magnetic dec (+E/W-).....:      14.48 degrees
Magnetic dip.............:      75.92 degrees

----- Depth reference -----------------------
Permanent datum..........: Mean Sea Level                    
Depth reference..........: Actual KB
GL above permanent.......:    706.54 (m)
KB above permanent.......:    711.06 (m)
DF above permanent.......:    711.06 (m)

----- Corrections ---------------------------
Magnetic dec (+E/W-).....:      14.482 degrees
Grid convergence (+E/W-).:       0.28  degrees
Total az corr (+E/W-)....:      14.48  degrees
Total az corr (+E/W-)....:      14.48  degrees

----- Survey Type Information ---------------------------
H  4.52 - 1229.00 SURVEY #1 : MWD+IFR1+MS


MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/30m,UTM X,UTM Y, Lat, Long

533.270,30.330,330.840,525.598,185.462,40.112,-19.047,43.511,4.384,521121.602,6226829.521,56.185966,-116.659701, 
546.610,33.300,331.620,536.933,174.127,46.276,-22.430,50.472,6.743,521118.191,6226835.667,56.186021,-116.659756, 
559.950,35.140,330.770,547.963,163.097,52.849,-26.045,57.899,4.275,521114.544,6226842.219,56.186080,-116.659814, 
573.300,38.200,329.500,558.670,152.390,59.760,-30.018,65.810,7.084,521110.540,6226849.108,56.186142,-116.659878, 
586.660,41.080,328.790,568.957,142.103,67.076,-34.390,74.285,6.546,521106.133,6226856.398,56.186208,-116.659949, 
600.010,43.910,328.320,578.799,132.261,74.768,-39.095,83.261,6.399,521101.392,6226864.065,56.186277,-116.660024, 
613.360,47.000,329.540,588.163,122.897,82.918,-44.002,92.725,7.213,521096.447,6226872.187,56.186350,-116.660103, 
626.710,49.960,331.040,597.012,114.048,91.599,-48.952,102.639,7.114,521091.455,6226880.840,56.186428,-116.660183, 
640.060,52.650,332.440,605.357,105.703,100.777,-53.883,112.938,6.524,521086.481,6226889.990,56.186511,-116.660263, 
653.420,55.380,332.650,613.206,97.854,110.369,-58.866,123.601,6.142,521081.453,6226899.553,56.186597,-116.660343, 
666.770,58.250,332.540,620.513,90.547,120.287,-64.009,134.619,6.453,521076.264,6226909.442,56.186686,-116.660426, 
680.120,61.240,331.480,627.239,83.821,130.467,-69.421,146.010,7.027,521070.803,6226919.591,56.186777,-116.660513, 
693.480,64.250,330.210,633.356,77.704,140.837,-75.208,157.777,7.219,521064.967,6226929.928,56.186871,-116.660606, 
706.830,67.120,330.110,638.853,72.207,151.389,-81.261,169.849,6.453,521058.865,6226940.446,56.186965,-116.660703, 
720.190,69.620,330.300,643.777,67.283,162.165,-87.431,182.171,5.628,521052.644,6226951.188,56.187062,-116.660803, 
733.540,71.770,329.860,648.190,62.870,173.085,-93.716,194.676,4.921,521046.308,6226962.072,56.187160,-116.660904, 
746.890,74.120,329.390,652.105,58.955,184.095,-100.169,207.355,5.377,521039.803,6226973.045,56.187259,-116.661008, 
760.230,76.970,330.390,655.435,55.625,195.268,-106.648,220.180,6.769,521033.271,6226984.182,56.187359,-116.661112, 
